Make,Model,Consumer Guide Recommendation,CLASS,Low Price,High Price,City Miles/Gallon,Highway Miles/Gallon,Horse Power,Wheel Base,Length,Front Head Room,Front Leg Room,Basic Warranty - Years,Basic Warranty - Miles
AM General,Hummer,no,full-size sport-utility vehicle,69385,89410,13,17,195,130,184.5,39.9,41.7,3,36000
Acura,Integra,no,sports coupe,19300,24350,25,31,170,101.2,172.4,38.6,42.7,4,50000
Acura,NSX,no,sports and GT car,84000,88000,17,24,290,99.6,174.2,36.3,44.3,4,50000
Acura,RL,Best Buy,luxury car,42000,44000,19,24,210,114.6,196.6,38.8,42.1,4,50000
Acura,TL,Best Buy,near-luxury car,28400,30400,19,29,225,108.1,192.9,39.9,42.4,4,50000
Audi,A4,no,near-luxury car,23990,37900,17,24,250,102.6,176.7,38.2,41.3,3,50000
Audi,A6,Recommended,near-luxury car,33950,48900,17,24,250,108.6,192,39.3,41.3,3,50000
Audi,A8,no,luxury car,62000,62000,17,24,310,113.4,198.2,38.9,41.3,3,50000
Audi,TT,no,sports and GT car,30500,30500,22,31,180,95.4,159.1,37.8,41.2,3,50000
BMW,3-Series,no,near-luxury car,26990,33990,20,29,170,107.3,176,38.4,41.4,4,50000
BMW,5-Series,Recommended,luxury car,38900,69400,15,23,282,111.4,188,38.7,41.7,4,50000
BMW,7-Series,no,luxury car,62400,92100,13,20,326,115.4,196.2,37.7,41.9,4,50000
BMW,X5,no,midsize sport-utility vehicle,49400,49400,13,17,282,111,183.7,39.8,39.3,4,50000
BMW,Z3 Series,Recommended,sports and GT car,31300,42700,19,26,193,96.3,158.5,36.7,41.8,4,50000
Buick,Century,Recommended,midsize car,19725,21860,20,30,175,109,194.6,39.4,42.4,3,36000
Buick,LeSabre,Recommended,full-size car,23235,27525,19,30,205,112.2,200,38.8,42.4,3,36000
Buick,Park Avenue,Recommended,near-luxury car,31800,36800,18,27,240,113.8,206.8,39.8,42.4,3,36000
Buick,Regal,no,midsize car,22340,25185,18,27,240,109,196.2,39.3,42.4,3,36000
Cadillac,Catera,no,near-luxury car,30860,30860,18,24,200,107.5,192.2,38.7,42.2,4,50000
Cadillac,DeVille,Recommended,luxury car,39500,44700,17,28,275,115.3,207,39.1,43.2,4,50000
Cadillac,Eldorado,no,luxury car,39120,42695,17,26,275,108,200.6,37.8,42.6,4,50000
Cadillac,Escalade,no,full-size sport-utility vehicle,46225,46225,13,16,255,117.5,201.2,39.9,41.7,4,50000
Cadillac,Seville,no,luxury car,44080,46680,17,26,275,112.2,201,38.2,42.5,4,50000
Chevrolet,Astro,no,minivan,20240,23887,16,20,190,111.2,189.8,39.2,41.6,3,36000
Chevrolet,Blazer,no,midsize sport-utility vehicle,18970,31570,17,23,190,100.5,176.8,39.6,42.4,3,36000
Chevrolet,C/K 2500/3500,no,full-size pickup truck,19497,27979,19,27,195,131.5,213.1,39.9,41.7,3,36000
Chevrolet,Camaro,Budget Buy,sports and GT car,16940,28615,18,27,320,101.1,193.5,37.2,43,3,36000
Chevrolet,Cavalier,Recommended,subcompact car,13160,19830,23,33,150,104.1,180.9,37.6,41.9,3,36000
Chevrolet,Corvette,Best Buy,sports and GT car,38555,45555,18,28,345,104.5,179.7,37.6,42.7,3,36000
Chevrolet,Express,Recommended,full-size van,20460,27004,14,17,220,135,218.7,40.6,41.1,3,36000
Chevrolet,Impala,Budget Buy,midsize car,18790,22590,20,29,200,110.5,200,39.2,42.2,3,36000
Chevrolet,Lumina,no,midsize car,18790,18790,20,29,175,107.5,200.9,38.4,42.4,3,36000
Chevrolet,Malibu,Recommended,midsize car,16445,19215,20,30,170,107,190.4,39.4,41.9,3,36000
Chevrolet,Metro,no,subcompact car,9185,10610,39,43,79,93.1,149.4,39.1,42.5,3,36000
Chevrolet,Monte Carlo,no,sports coupe,19290,21735,19,29,200,110.5,197.9,38.1,42.4,3,36000
Chevrolet,Prizm,Recommended,subcompact car,13910,15960,31,37,125,97.1,174.2,39.3,42.5,3,36000
Chevrolet,S-10,Recommended,compact pickup truck,12605,20081,17,23,180,108.3,190.1,39.5,42.4,3,36000
Chevrolet,Silverado 1500,Best Buy,full-size pickup truck,15655,31720,16,20,285,119,203.3,41,41.3,3,36000
Chevrolet,Silverado 2500,Best Buy,full-size pickup truck,20489,33135,16,20,285,133,222,41,41.3,3,36000
Chevrolet,Tahoe Limited and Z71,no,full-size sport-utility vehicle,33929,38894,14,18,255,117.5,199.6,43.3,41.7,3,36000
Chevrolet,Tahoe and Suburban,no,full-size sport-utility vehicle,24929,30595,19,27,275,116,198.9,40.7,41.3,3,36000
Chevrolet,Tracker,no,compact sport-utility vehicle,13925,16250,23,25,127,86.6,151.8,40.9,41.4,3,36000
Chevrolet,Venture,Recommended,minivan,20650,28995,18,25,185,112,186.9,39.9,39.9,3,36000
Chrysler,Cirrus,no,midsize car,16230,20085,19,27,168,108,187,38.1,42.3,3,36000
Chrysler,Concorde,Best Buy,full-size car,22145,26385,19,29,225,113,209.1,38.3,42.2,3,36000
Chrysler,LHS and 300M,no,near-luxury car,28240,29085,18,27,253,113,197.8,38.3,42.2,3,36000
Chrysler,Sebring,Recommended,sports coupe,19840,26710,19,27,163,103.7,190.9,37.6,43.3,3,36000
Chrysler,Town & Country,no,minivan,26525,36805,17,24,180,119.3,199.7,39.8,40.6,3,36000
Chrysler,Voyager,Best Buy,minivan,18850,24245,18,24,158,113.3,186.3,39.8,40.6,3,36000
Daewoo,Lanos,no,subcompact car,8669,12519,26,36,105,99.2,160.4,38.9,42.8,3,36000
Dodge,Avenger,no,sports coupe,19045,21290,19,27,163,103.7,190.2,39.1,43.3,3,36000
Dodge,Caravan,Best Buy,minivan,18850,32175,17,24,180,113.3,186.3,39.8,40.6,3,36000
Dodge,Dakota,Best Buy,compact pickup truck,13555,21895,12,17,250,111.9,195.8,40,41.9,3,36000
